amount,asset_description,cap_gains_over_200_usd,disclosure_date,disclosure_year,district,owner,ptr_link,representative,ticker,transaction_date,type
"$1,000 - $15,000",Abbott Laboratories,False,11/18/2021,2021,WA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019850.pdf,Kim Dr Schrier,ABT,10/28/2021,sale_full
"$1,000 - $15,000",AbbVie Inc,False,2/18/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020393.pdf,Josh Gottheimer,ABBV,1/28/2022,purchase
"$1,000 - $15,000",AbbVie Inc,False,3/9/2020,2020,VA01,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016184.pdf,Robert J. Wittman,ABBV,2/27/2020,purchase
"$1,000 - $15,000",AbbVie Inc,False,3/18/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,Josh Gottheimer,ABBV,2/18/2022,purchase
"$1,000 - $15,000",AbbVie Inc,False,3/18/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020573.pdf,Josh Gottheimer,ABBV,2/9/2022,purchase
"$1,000 - $15,000",AbbVie Inc,False,9/10/2021,2021,CA19,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019458.pdf,Zoe Lofgren,ABBV,8/9/2021,purchase
"$1,000 - $15,000",AbbVie Inc,False,6/21/2021,2021,GA14,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018953.pdf,Marjorie Taylor Greene,ABBV,6/16/2021,purchase
"$15,000 - $50,000",AbbVie Inc,False,10/24/2020,2020,MI12,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017566.pdf,Debbie Dingell,ABBV,10/13/2020,purchase
"$1,000 - $15,000",AbbVie Inc,True,8/7/2020,2020,SC04,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017111.pdf,William R. Timmons,ABBV,6/29/2020,sale_full
"$15,000 - $50,000",AbbVie Inc,False,12/29/2020,2020,TX24,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217786.pdf,Kenny Marchant,ABBV,11/19/2020,purchase
"$15,000 - $50,000",AbbVie Inc,False,12/29/2020,2020,TX24,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217786.pdf,Kenny Marchant,ABBV,11/17/2020,sale_full
"$1,000 - $15,000",AbbVie Inc,False,1/11/2021,2021,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20017992.pdf,Gilbert Cisneros,ABBV,12/22/2020,purchase
"$1,000 - $15,000",AbbVie Inc,False,8/13/2020,2020,PA09,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017182.pdf,Daniel Meuser,ABBV,12/11/2019,sale_full
"$1,000 - $15,000",AbbVie Inc,False,3/12/2021,2021,CA17,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Rohit Khanna,ABBV,2/11/2021,purchase
"$1,000 - $15,000",AbbVie Inc,False,3/12/2021,2021,CA17,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217894.pdf,Rohit Khanna,ABBV,2/11/2021,purchase
"$1,000 - $15,000",AbbVie Inc,False,4/17/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,Josh Gottheimer,ABBV,3/8/2022,purchase
"$1,000 - $15,000",AbbVie Inc,False,4/17/2022,2022,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020786.pdf,Josh Gottheimer,ABBV,3/17/2022,purchase
"$15,000 - $50,000",AbbVie Inc,False,8/12/2020,2020,WV03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017172.pdf,Carol Devine Miller,ABBV,7/2/2019,purchase
"$1,000 - $15,000",AbbVie Inc,False,12/9/2020,2020,NY25,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017819.pdf,Joseph D. Morelle,ABBV,11/20/2020,sale_full
"$500,000 - $1,000,000","Abdiel Qualified Onshore Partners - Hedge Fund, Fund manager letter on File with Ethics Committee",False,7/26/2022,2022,NC06,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021437.pdf,Kathy Manning,--,7/1/2022,sale_full
"$1,000 - $15,000","ABIOMEd, Inc.",False,2/10/2020,2020,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015007.pdf,Josh Gottheimer,ABMD,1/10/2020,purchase
"$1,000 - $15,000","ABIOMEd, Inc.",False,1/6/2020,2020,NJ05,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013859.pdf,Josh Gottheimer,ABMD,12/10/2019,sale_full
"$1,000 - $15,000",ABM Industries Incorporated,False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,ABM,4/30/2019,sale_full
"$1,000 - $15,000",ABM Industries Incorporated,False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,ABM,4/16/2019,sale_partial
"$1,000 - $15,000",ABM Industries Incorporated,False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,ABM,1/9/2019,purchase
"$1,000 - $15,000",ABN AMRO BANK N V AMSTERDAM BRANCH UNSPON ADR,False,4/7/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016366.pdf,Greg Gianforte,AAVMY,3/18/2020,purchase
"$1,000 - $15,000",ABN AMRO BANK N V AMSTERdAM BRANCH UNSPON ADR,False,12/2/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017780.pdf,Greg Gianforte,AAVMY,11/13/2020,purchase
"$1,000 - $15,000","Acasti Pharma, Inc - Class A",False,3/28/2021,2021,TN07,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018471.pdf,Mark Dr Green,ACST,3/16/2021,purchase
"$50,000 - $100,000",Accenture PLC,False,2/25/2021,2021,TX10,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,Michael T. McCaul,ACN,1/12/2021,sale_full
"$50,000 - $100,000",Accenture PLC,False,2/25/2021,2021,TX10,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/8217869.pdf,Michael T. McCaul,ACN,1/12/2021,sale_full
"$1,000 - $15,000",Accenture PLC,False,1/7/2021,2020,TX10,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217799.pdf,Michael T. McCaul,ACN,11/4/2020,sale_full
"$1,000 - $15,000",Accenture PLC,False,1/7/2021,2020,TX10,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/8217799.pdf,Michael T. McCaul,ACN,11/4/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,3/7/2022,2022,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020571.pdf,Kevin Hern,ACN,2/15/2022,purchase
"$1,000 - $15,000",Accenture PLC,False,5/9/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016572.pdf,Donald Sternoff Beyer,ACN,4/27/2020,sale_full
"$1,000 - $15,000",Accenture PLC,False,6/15/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018919.pdf,Kevin Hern,ACN,5/14/2021,purchase
"$1,000 - $15,000",Accenture PLC,False,4/16/2020,2020,OR03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016347.pdf,Earl Blumenauer,ACN,3/26/2020,purchase
"$100,000 - $250,000",Accenture PLC,False,4/16/2020,2020,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016419.pdf,Kevin Hern,ACN,3/26/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,5/31/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,Donald Sternoff Beyer,ACN,5/1/2020,sale_full
"$1,000 - $15,000",Accenture PLC,False,5/31/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016686.pdf,Donald Sternoff Beyer,ACN,5/7/2020,sale_full
"$1,000 - $15,000",Accenture PLC,False,12/1/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017748.pdf,Donald Sternoff Beyer,ACN,11/17/2020,purchase
"$100,000 - $250,000",Accenture PLC,False,7/14/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019089.pdf,Kevin Hern,ACN,6/25/2021,purchase
"$1,000 - $15,000",Accenture PLC,False,9/15/2022,2022,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021704.pdf,Kevin Hern,ACN,8/15/2022,purchase
"$1,000 - $15,000",Accenture PLC,False,2/22/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016099.pdf,Donald Sternoff Beyer,ACN,1/9/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,2/22/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016101.pdf,Donald Sternoff Beyer,ACN,2/14/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,8/9/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017058.pdf,Donald Sternoff Beyer,ACN,7/14/2020,sale_full
"$1,000 - $15,000",Accenture PLC,False,9/10/2021,2021,CA19,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019458.pdf,Zoe Lofgren,ACN,8/9/2021,purchase
"$15,000 - $50,000",Accenture PLC,False,1/6/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013840.pdf,David B. McKinley,ACN,12/30/2019,purchase
"$1,000 - $15,000",Accenture PLC,False,12/14/2020,2020,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017853.pdf,Kevin Hern,ACN,11/13/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,5/6/2021,2021,NC06,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018693.pdf,Kathy Manning,ACN,4/30/2021,sale_partial
"$1,000 - $15,000",Accenture PLC,False,9/15/2020,2020,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017380.pdf,Kevin Hern,ACN,8/14/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,6/14/2022,2022,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021223.pdf,Kevin Hern,ACN,5/13/2022,purchase
"$1,000 - $15,000",Accenture PLC,False,7/24/2020,2020,FL21,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017016.pdf,Lois Frankel,ACN,7/15/2020,sale_partial
"$1,000 - $15,000",Accenture PLC,False,8/15/2020,2020,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017192.pdf,Kevin Hern,ACN,7/27/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,9/15/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019490.pdf,Kevin Hern,ACN,8/13/2021,purchase
"$1,000 - $15,000",Accenture PLC,False,3/3/2022,2022,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020354.pdf,Donald Sternoff Beyer,ACN,2/2/2022,purchase
"$15,000 - $50,000",Accenture PLC,False,3/3/2022,2022,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020354.pdf,Donald Sternoff Beyer,ACN,2/28/2022,sale_full
"$1,000 - $15,000",Accenture PLC,False,3/15/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018400.pdf,Kevin Hern,ACN,2/12/2021,purchase
"$100,000 - $250,000",Accenture PLC,False,10/7/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019594.pdf,Kevin Hern,ACN,9/23/2021,purchase
"$1,000 - $15,000",Accenture PLC,False,10/7/2021,2021,CA19,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019592.pdf,Zoe Lofgren,ACN,9/2/2021,purchase
"$1,000 - $15,000",Accenture PLC,False,1/2/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20013832.pdf,Donald Sternoff Beyer,ACN,12/23/2019,purchase
"$1,000 - $15,000",Accenture PLC,False,5/15/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016540.pdf,David B. McKinley,ACN,4/30/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,6/16/2020,2020,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016796.pdf,Kevin Hern,ACN,5/15/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,9/6/2020,2020,VA08,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017313.pdf,Donald Sternoff Beyer,ACN,8/27/2020,purchase
"$1,000 - $15,000",Accenture PLC,False,12/9/2021,2021,OK01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019983.pdf,Kevin Hern,ACN,11/26/2021,purchase
"$15,000 - $50,000",ACCOR S A SPONSOREd ADR NEW,False,12/2/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017780.pdf,Greg Gianforte,ACCYY,11/13/2020,sale_partial
"$1,000 - $15,000","ACI Worldwide, Inc.",False,2/25/2020,2020,NV03,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20015037.pdf,Susie Lee,ACIW,1/7/2020,purchase
"$1,000 - $15,000","ACI Worldwide, Inc.",False,7/10/2020,2020,NV03,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016887.pdf,Susie Lee,ACIW,6/29/2020,sale_partial
"$1,000 - $15,000",ACKSON MICH LTD TAX GO CAP IMPT BDS 2018 5.000% 06/01/31 B/E DTD 06/28/18 CLB CLB 06/01/26 @100.000 BAM,False,4/20/2020,2020,UT03,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016416.pdf,John Curtis,--,4/14/2020,purchase
"$50,000 - $100,000",ACS Actividades de Construccion Y Servicios SA Unsponsored ADR,False,12/2/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017780.pdf,Greg Gianforte,ACSAY,11/13/2020,purchase
"$1,000 - $15,000",Activision Blizzard Inc,False,11/16/2021,2021,UT03,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019828.pdf,John Curtis,ATVI,11/8/2021,sale_full
"$15,000 - $50,000",Activision Blizzard Inc,False,9/3/2020,2020,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017274.pdf,David B. McKinley,ATVI,8/25/2020,purchase
"$1,000 - $15,000",Activision Blizzard Inc,False,9/8/2021,2021,IL03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20019443.pdf,Marie Newman,ATVI,8/6/2021,purchase
"$15,000 - $50,000",Activision Blizzard Inc,False,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Gilbert Cisneros,ATVI,3/12/2020,sale_partial
"$1,000 - $15,000",Activision Blizzard Inc,False,4/16/2020,2020,CA39,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016402.pdf,Gilbert Cisneros,ATVI,3/13/2020,sale_partial
"$15,000 - $50,000",Activision Blizzard Inc,False,1/14/2022,2022,WV01,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020158.pdf,David B. McKinley,ATVI,12/6/2021,sale_full
"$1,000 - $15,000",Activision Blizzard Inc,False,3/5/2022,2022,IL03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020560.pdf,Marie Newman,ATVI,2/8/2022,sale_full
"$1,000 - $15,000",Activision Blizzard Inc,False,3/5/2022,2022,IL03,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020560.pdf,Marie Newman,ATVI,2/8/2022,sale_full
"$1,000 - $15,000",Activision Blizzard Inc,False,3/9/2022,2022,GA12,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020585.pdf,Richard W. Allen,ATVI,2/10/2022,purchase
"$1,000 - $15,000",Activision Blizzard Inc,False,1/20/2022,2022,GA14,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20020263.pdf,Marjorie Taylor Greene,ATVI,1/18/2022,sale_full
"$1,000 - $15,000",Activision Blizzard Inc,True,10/15/2020,2020,CA47,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017534.pdf,Alan S. Lowenthal,ATVI,9/4/2020,sale_full
"$15,000 - $50,000",Activision Blizzard Inc,True,10/15/2020,2020,CA47,self,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20017535.pdf,Alan S. Lowenthal,ATVI,9/4/2020,sale_full
"$1,000 - $15,000","Acuity Brands, Inc.",False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,AYI,4/16/2019,sale_full
"$1,000 - $15,000","Acuity Brands, Inc.",False,4/27/2020,2020,FL27,--,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016481.pdf,Donna Shalala,AYI,4/3/2019,sale_partial
"$100,000 - $250,000","Acuity Brands, Inc.",False,5/7/2020,2020,MT00,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2020/20016565.pdf,Greg Gianforte,AYI,4/29/2020,sale_full
"$1,000 - $15,000",AdaptHealth Corp,False,2/10/2021,2021,NV03,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018168.pdf,Susie Lee,AHCO,1/5/2021,purchase
"$1,000 - $15,000",AdaptHealth Corp,False,2/10/2021,2021,NV03,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018168.pdf,Susie Lee,AHCO,1/22/2021,purchase
"$1,000 - $15,000",AdaptHealth Corp,False,6/15/2021,2021,OK01,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018919.pdf,Kevin Hern,AHCO,5/20/2021,purchase
"$1,000 - $15,000",AdaptHealth Corp,False,6/15/2021,2021,OK01,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018919.pdf,Kevin Hern,AHCO,5/20/2021,purchase
"$1,000 - $15,000",AdaptHealth Corp,False,6/15/2021,2021,OK01,dependent,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018919.pdf,Kevin Hern,AHCO,5/20/2021,purchase
"$1,000 - $15,000",AdaptHealth Corp,False,3/11/2021,2021,NV03,joint,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2021/20018329.pdf,Susie Lee,AHCO,2/11/2021,purchase
